iterationsPerColony: 8
cost, colony, totalAnts, alpha, beta, rho, Q, scheme, runTime
2808.0,0,31,1.98,1.02,0.82,2,0,7.689
2677.0,1,31,1.98,1.02,0.82,2,1,7.942
2838.0,2,31,1.98,1.02,0.82,2,2,7.518
2488.0,3,31,1.98,1.02,0.82,2,0,7.419
2760.0,4,31,1.98,1.02,0.82,2,1,7.526
2829.0,5,31,1.98,1.02,0.82,2,2,7.458
2617.0,6,31,1.98,1.02,0.84,2,0,7.47
2750.0,7,31,1.98,1.02,0.84,2,1,7.578
2837.0,8,31,1.98,1.02,0.84,2,2,7.479
2702.0,9,31,1.98,1.02,0.84,2,0,7.383
2583.0,10,31,1.98,1.02,0.84,2,1,7.61
2919.0,11,31,1.98,1.02,0.84,2,2,7.479
869.0,12,31,1.98,9.93,0.82,2,0,7.458
863.0,13,31,1.98,9.93,0.82,2,1,7.553
923.0,14,31,1.98,9.93,0.82,2,2,7.577
798.0,15,31,1.98,9.93,0.82,2,0,7.469
845.0,16,31,1.98,9.93,0.82,2,1,7.58
809.0,17,31,1.98,9.93,0.82,2,2,7.414
864.0,18,31,1.98,9.93,0.84,2,0,7.468
833.0,19,31,1.98,9.93,0.84,2,1,7.587
902.0,20,31,1.98,9.93,0.84,2,2,7.547
853.0,21,31,1.98,9.93,0.84,2,0,7.386
862.0,22,31,1.98,9.93,0.84,2,1,7.594
841.0,23,31,1.98,9.93,0.84,2,2,7.463
2649.0,24,31,10.72,1.02,0.82,2,0,7.468
2656.0,25,31,10.72,1.02,0.82,2,1,7.539
2872.0,26,31,10.72,1.02,0.82,2,2,7.546
2726.0,27,31,10.72,1.02,0.82,2,0,7.477
2737.0,28,31,10.72,1.02,0.82,2,1,7.556
2692.0,29,31,10.72,1.02,0.82,2,2,7.419
2780.0,30,31,10.72,1.02,0.84,2,0,7.504
2636.0,31,31,10.72,1.02,0.84,2,1,7.487
2757.0,32,31,10.72,1.02,0.84,2,2,7.533
2681.0,33,31,10.72,1.02,0.84,2,0,8.122
2575.0,34,31,10.72,1.02,0.84,2,1,7.591
2910.0,35,31,10.72,1.02,0.84,2,2,7.415
867.0,36,31,10.72,9.93,0.82,2,0,7.527
832.0,37,31,10.72,9.93,0.82,2,1,7.46
907.0,38,31,10.72,9.93,0.82,2,2,8.785
863.0,39,31,10.72,9.93,0.82,2,0,7.986
814.0,40,31,10.72,9.93,0.82,2,1,9.384
922.0,41,31,10.72,9.93,0.82,2,2,8.126
871.0,42,31,10.72,9.93,0.84,2,0,7.533
866.0,43,31,10.72,9.93,0.84,2,1,8.421
842.0,44,31,10.72,9.93,0.84,2,2,9.282
859.0,45,31,10.72,9.93,0.84,2,0,8.23
869.0,46,31,10.72,9.93,0.84,2,1,7.822
916.0,47,31,10.72,9.93,0.84,2,2,7.602
2719.0,48,56,1.98,1.02,0.82,2,0,13.889
2683.0,49,56,1.98,1.02,0.82,2,1,13.851
2647.0,50,56,1.98,1.02,0.82,2,2,13.962
2606.0,51,56,1.98,1.02,0.82,2,0,13.755
2630.0,52,56,1.98,1.02,0.82,2,1,13.998
2816.0,53,56,1.98,1.02,0.82,2,2,13.698
2704.0,54,56,1.98,1.02,0.84,2,0,13.795
2649.0,55,56,1.98,1.02,0.84,2,1,13.958
2870.0,56,56,1.98,1.02,0.84,2,2,13.764
2670.0,57,56,1.98,1.02,0.84,2,0,13.744
2698.0,58,56,1.98,1.02,0.84,2,1,13.983
2783.0,59,56,1.98,1.02,0.84,2,2,13.703
811.0,60,56,1.98,9.93,0.82,2,0,13.939
815.0,61,56,1.98,9.93,0.82,2,1,13.853
910.0,62,56,1.98,9.93,0.82,2,2,13.839
847.0,63,56,1.98,9.93,0.82,2,0,13.744
841.0,64,56,1.98,9.93,0.82,2,1,13.956
822.0,65,56,1.98,9.93,0.82,2,2,13.713
813.0,66,56,1.98,9.93,0.84,2,0,13.682
845.0,67,56,1.98,9.93,0.84,2,1,13.826
885.0,68,56,1.98,9.93,0.84,2,2,13.788
826.0,69,56,1.98,9.93,0.84,2,0,13.706
841.0,70,56,1.98,9.93,0.84,2,1,14.446
844.0,71,56,1.98,9.93,0.84,2,2,13.766
2737.0,72,56,10.72,1.02,0.82,2,0,13.709
2590.0,73,56,10.72,1.02,0.82,2,1,13.867
2919.0,74,56,10.72,1.02,0.82,2,2,13.802
2544.0,75,56,10.72,1.02,0.82,2,0,13.616
2662.0,76,56,10.72,1.02,0.82,2,1,17.238
2677.0,77,56,10.72,1.02,0.82,2,2,15.43
2694.0,78,56,10.72,1.02,0.84,2,0,13.745
2585.0,79,56,10.72,1.02,0.84,2,1,13.712
2835.0,80,56,10.72,1.02,0.84,2,2,13.789
2587.0,81,56,10.72,1.02,0.84,2,0,13.627
2633.0,82,56,10.72,1.02,0.84,2,1,13.884
2878.0,83,56,10.72,1.02,0.84,2,2,13.629
824.0,84,56,10.72,9.93,0.82,2,0,13.68
855.0,85,56,10.72,9.93,0.82,2,1,13.895
900.0,86,56,10.72,9.93,0.82,2,2,13.745
848.0,87,56,10.72,9.93,0.82,2,0,13.701
820.0,88,56,10.72,9.93,0.82,2,1,13.863
885.0,89,56,10.72,9.93,0.82,2,2,13.623
858.0,90,56,10.72,9.93,0.84,2,0,13.692
842.0,91,56,10.72,9.93,0.84,2,1,13.832
853.0,92,56,10.72,9.93,0.84,2,2,13.841
855.0,93,56,10.72,9.93,0.84,2,0,13.702
839.0,94,56,10.72,9.93,0.84,2,1,13.792
828.0,95,56,10.72,9.93,0.84,2,2,13.598
2724.0,96,79,1.98,1.02,0.82,2,0,19.332
2616.0,97,79,1.98,1.02,0.82,2,1,19.248
2684.0,98,79,1.98,1.02,0.82,2,2,19.098
2660.0,99,79,1.98,1.02,0.82,2,0,19.022
2524.0,100,79,1.98,1.02,0.82,2,1,19.403
2704.0,101,79,1.98,1.02,0.82,2,2,19.038
2616.0,102,79,1.98,1.02,0.84,2,0,18.999
2572.0,103,79,1.98,1.02,0.84,2,1,19.386
2719.0,104,79,1.98,1.02,0.84,2,2,19.136
2695.0,105,79,1.98,1.02,0.84,2,0,19.104
2541.0,106,79,1.98,1.02,0.84,2,1,19.318
2785.0,107,79,1.98,1.02,0.84,2,2,19.05
839.0,108,79,1.98,9.93,0.82,2,0,19.154
843.0,109,79,1.98,9.93,0.82,2,1,19.162
878.0,110,79,1.98,9.93,0.82,2,2,19.144
846.0,111,79,1.98,9.93,0.82,2,0,19.037
792.0,112,79,1.98,9.93,0.82,2,1,19.287
876.0,113,79,1.98,9.93,0.82,2,2,19.197
829.0,114,79,1.98,9.93,0.84,2,0,19.045
811.0,115,79,1.98,9.93,0.84,2,1,19.235
849.0,116,79,1.98,9.93,0.84,2,2,19.263
850.0,117,79,1.98,9.93,0.84,2,0,18.942
803.0,118,79,1.98,9.93,0.84,2,1,19.4
840.0,119,79,1.98,9.93,0.84,2,2,19.063
2674.0,120,79,10.72,1.02,0.82,2,0,19.117
2721.0,121,79,10.72,1.02,0.82,2,1,19.337
2879.0,122,79,10.72,1.02,0.82,2,2,19.097
2561.0,123,79,10.72,1.02,0.82,2,0,19.002
2593.0,124,79,10.72,1.02,0.82,2,1,19.326
2663.0,125,79,10.72,1.02,0.82,2,2,19.18
2599.0,126,79,10.72,1.02,0.84,2,0,19.086
2573.0,127,79,10.72,1.02,0.84,2,1,19.176
2834.0,128,79,10.72,1.02,0.84,2,2,19.2
2576.0,129,79,10.72,1.02,0.84,2,0,19.098
2616.0,130,79,10.72,1.02,0.84,2,1,19.432
2823.0,131,79,10.72,1.02,0.84,2,2,19.132
848.0,132,79,10.72,9.93,0.82,2,0,19.192
830.0,133,79,10.72,9.93,0.82,2,1,19.298
844.0,134,79,10.72,9.93,0.82,2,2,19.124
845.0,135,79,10.72,9.93,0.82,2,0,19.36
844.0,136,79,10.72,9.93,0.82,2,1,19.421
875.0,137,79,10.72,9.93,0.82,2,2,19.12
860.0,138,79,10.72,9.93,0.84,2,0,19.31
839.0,139,79,10.72,9.93,0.84,2,1,19.255
860.0,140,79,10.72,9.93,0.84,2,2,19.171
836.0,141,79,10.72,9.93,0.84,2,0,19.138
826.0,142,79,10.72,9.93,0.84,2,1,19.422
834.0,143,79,10.72,9.93,0.84,2,2,19.329
